POI_Name,Location_Type,Store_Lat,Store_Lng,Vicinity
Walmart Bakery,POI,33.380761,-111.83672,"240 West Baseline Road, Mesa"
Cinnabon,POI,33.380761,-111.83672,"408 West Juanita Avenue, Mesa"
Medical Arts Pharmacy,POI,33.380761,-111.83672,"1580 N Fiesta Blvd # 103, Gilbert"
Walmart Pharmacy,POI,33.380761,-111.83672,"240 West Baseline Road, Mesa"
Supreme Fill,POI,33.380761,-111.83672,"1445 North Fiesta Boulevard, Gilbert"
Walgreens Pharmacy,POI,33.380761,-111.83672,"1960 South Country Club Drive, Mesa"
"Barbara J. Arnst, RPH",POI,33.380761,-111.83672,"1960 South Country Club Drive, Mesa, AZ 85210"
First Convenience Bank,POI,33.380761,-111.83672,"240 West Baseline Road, Mesa"
First Convenience Bank,POI,33.380761,-111.83672,"240 West Baseline Road, Mesa"
Circle K,POI,33.380761,-111.83672,"1810 South Country Club Drive, Mesa"
Cardtronics ATM,POI,33.380761,-111.83672,"1810 South Country Club Drive, Mesa"
Circle K,POI,33.380761,-111.83672,"1810 South Country Club Drive, Mesa"
Shell,POI,33.380761,-111.83672,"1810 South Country Club Drive, Mesa"
Sonic Drive-In,POI,33.452481,-111.81464,"647 East McKellips Road, Mesa"
NextCare Urgent Care,POI,33.452481,-111.81464,"535 East McKellips Road #101, Mesa"
Walmart Pharmacy,POI,33.452481,-111.81464,"730 East McKellips Road, Mesa"
"Darla J. Russell, RPH",POI,33.452481,-111.81464,"840 East Mckellips Road Suite 101, Mesa, AZ 85203"
ATM Express,POI,33.452481,-111.81464,"735 East McKellips Road, Mesa"
AZ ATM Expert,POI,33.452481,-111.81464,"East McKellips Road, Mesa"
"Automated Financial, LLC",POI,33.452481,-111.81464,"808 East McKellips Road, Mesa"
ATM,POI,33.452481,-111.81464,"808 East McKellips Road, Mesa"
Chevron,POI,33.452481,-111.81464,"808 East McKellips Road, Mesa"
Jamba Juice,POI,33.337731,-111.854681,"2095 North Alma School Road #12, Chandler"
Tokyo House,POI,33.337731,-111.854681,"2050 North Alma School Road # 5, Chandler"
Subway,POI,33.337731,-111.854681,"2095 North Alma School Road #4A, Chandler"
Wendy's,POI,33.337731,-111.854681,"816 West Warner Road, Chandler"
Talebu Coffee & Wine Cafe,POI,33.337731,-111.854681,"2095 North Alma School Road #2, Chandler"
Burger King,POI,33.337731,-111.854681,"800 West Warner Road, Chandler"
Chase's Diner,POI,33.337731,-111.854681,"2040 North Alma School Road, Chandler"
FrinGo's Kitchen,POI,33.337731,-111.854681,"2160 North Alma School Road, Chandler"
Mi Taco,POI,33.337731,-111.854681,"2160 North Alma School Road # 116, Chandler"
Tumi Fine Peruvian,POI,33.337731,-111.854681,"2160 North Alma School Road #116, Chandler"
Talebu Coffee & Wine Cafe,POI,33.337731,-111.854681,"2095 North Alma School Road #2, Chandler"
Fry's Food And Drug,POI,33.337731,-111.854681,"2075 N Alma School Rd, Chandler"
First Cup Llc,POI,33.337731,-111.854681,"2105 S Alma School Rd, Chandler"
Bakery Deli,POI,33.337731,-111.854681,United States
Bethesda Pediatrics,POI,33.337731,-111.854681,"2175 North Alma School Road C104, Chandler"
Arizona Vein & Laser Institute,POI,33.337731,-111.854681,"2175 North Alma School Road. Bldg C, Suite 101 & 102, Chandler"
Arizona Allergy Associates,POI,33.337731,-111.854681,"2175 North Alma School Road, Chandler"
Advanced Men's Performance,POI,33.337731,-111.854681,"604 West Warner Road, Chandler"
Nevarez-Kells Loretta J MD,POI,33.337731,-111.854681,"604 West Warner Road # A, Chandler"
Mills Medical Practice,POI,33.337731,-111.854681,"604 West Warner Road, Chandler"
Walmart Pharmacy,POI,33.337731,-111.854681,"800 West Warner Road, Chandler"
Fry's Pharmacy,POI,33.337731,-111.854681,"2075 North Alma School Road, Chandler"
"Kathryn L. Prehoda, RPH",POI,33.337731,-111.854681,"2075 North Alma School Road, Chandler, AZ 85224"
Wells Fargo Bank,POI,33.337731,-111.854681,"2075 North Alma School Road, Chandler"
FirstBank - Warner & Alma School,POI,33.337731,-111.854681,"2025 North Alma School Road, Chandler"
ATM (Wells Fargo Bank),POI,33.337731,-111.854681,"2075 North Alma School Road, Chandler"
Wells Fargo Bank,POI,33.337731,-111.854681,"2075 North Alma School Road, Chandler"
ACE Cash Express,POI,33.337731,-111.854681,"2095 North Alma School Road #13, Chandler"
FirstBank - Warner & Alma School,POI,33.337731,-111.854681,"2025 North Alma School Road, Chandler"
"Automated Financial, LLC",POI,33.337731,-111.854681,"1981 N Alma School Rd, Mesa, AZ 85224, Chandler"
ATM (Shell),POI,33.337731,-111.854681,"1981 North Alma School Road, Chandler"
Talebu Coffee & Wine Cafe,POI,33.337731,-111.854681,"2095 North Alma School Road #2, Chandler"
McDonald's,POI,33.380445,-111.802765,"1955 South Stapley Drive, Mesa"
Subway,POI,33.380445,-111.802765,"1561 North Cooper Road #103, Gilbert"
Rubio's,POI,33.380445,-111.802765,"1649 South Stapley Drive #104, Mesa"
In-N-Out Burger,POI,33.380445,-111.802765,"1650 South Stapley Drive, Mesa"
Chick-fil-A,POI,33.380445,-111.802765,"1664 South Stapley Drive, Mesa"
Someburros,POI,33.380445,-111.802765,"1335 East Baseline Road, Gilbert"
HOUSE - Modern Sushi Restaurant,POI,33.380445,-111.802765,"1641 South Stapley Drive #103, Mesa"
Dunkin' Donuts,POI,33.380445,-111.802765,"1230 East Baseline Road, Mesa"
Burger King,POI,33.380445,-111.802765,"1567 North Cooper Road, Gilbert"
Chili's Grill & Bar,POI,33.380445,-111.802765,"1637 South Stapley Drive, Mesa"
Cold Stone Creamery,POI,33.380445,-111.802765,"1649 South Stapley Drive #102, Mesa"
Charleston's Restaurant,POI,33.380445,-111.802765,"1623 South Stapley Drive, Mesa"
Red Robin Gourmet Burgers,POI,33.380445,-111.802765,"1636 South Stapley Drive, Mesa"
Wok Up,POI,33.380445,-111.802765,"1275 East Baseline Road #106, Gilbert"
Village Inn,POI,33.380445,-111.802765,"1859 South Stapley Drive #107, Mesa"
Raising Cane's Chicken Fingers,POI,33.380445,-111.802765,"1945 South Stapley Drive, Mesa"
Piggly's BBQ,POI,33.380445,-111.802765,"1633 South Stapley Drive, Mesa"
Frankie's Famous Pizza,POI,33.380445,-111.802765,"1561 North Cooper Road #101, Gilbert"
Beer Research Institute,POI,33.380445,-111.802765,"1641 South Stapley Drive, Mesa"
Sammy's Place LLC,POI,33.380445,-111.802765,"1275 East Baseline Road, Gilbert"
Starbucks,POI,33.380445,-111.802765,"#A1, 1641 South Stapley Drive, Mesa"
Dunkin' Donuts,POI,33.380445,-111.802765,"1230 East Baseline Road, Mesa"
Dunkin' Donuts,POI,33.380445,-111.802765,"1230 East Baseline Road, Mesa"
Cold Stone Creamery,POI,33.380445,-111.802765,"1649 South Stapley Drive #102, Mesa"
